Life_expectancy,Status,Percentage_expenditure,GDP,ICOR,Schooling
65,Developing,71.27962362,584.25921,0.479,10.1
59.9,Developing,73.52358168,612.696514,0.476,10
59.9,Developing,73.21924272,631.744976,0.47,9.9
59.5,Developing,78.1842153,669.959,0.463,9.8
59.2,Developing,7.097108703,63.537231,0.454,9.5
58.8,Developing,79.67936736,553.32894,0.448,9.2
58.6,Developing,56.76221682,445.8932979,0.434,8.9
58.1,Developing,25.87392536,373.3611163,0.433,8.7
57.5,Developing,10.91015598,369.835796,0.415,8.4
57.3,Developing,17.17151751,272.56377,0.405,8.1
57.3,Developing,1.388647732,25.2941299,0.396,7.9
57,Developing,15.29606643,219.1413528,0.381,6.8
56.7,Developing,11.08905273,198.7285436,0.373,6.5
56.2,Developing,16.88735091,187.84595,0.341,6.2
55.3,Developing,10.5747282,117.49698,0.34,5.9
54.8,Developing,10.42496,114.56,0.338,5.5
77.8,Developing,364.9752287,3954.22783,0.762,14.2
77.5,Developing,428.7490668,4575.763787,0.761,14.2
77.2,Developing,430.8769785,4414.72314,0.759,14.2
76.9,Developing,412.4433563,4247.61438,0.752,14.2
76.6,Developing,437.0621,4437.17868,0.738,13.3
76.2,Developing,41.82275719,494.358832,0.725,12.5
76.1,Developing,348.0559517,4114.136545,0.721,12.2
75.3,Developing,36.62206845,437.539647,0.713,12
75.9,Developing,32.24655228,363.13685,0.703,11.6
74.2,Developing,3.3021542,35.1293,0.696,11.4
73.5,Developing,26.99312143,279.142931,0.685,10.8
73,Developing,221.8428,2416.588235,0.681,10.9
72.8,Developing,14.71928882,189.681557,0.674,10.7
73.3,Developing,104.5169157,1453.642777,0.67,10.7
73.6,Developing,96.20557078,1326.97339,0.662,10.6
72.6,Developing,91.71154052,1175.788981,0.656,10.7
75.6,Developing,0,4132.76292,0.743,14.4
75.4,Developing,54.2373183,547.8517,0.741,14.4
75.3,Developing,544.4507432,5471.866766,0.737,14.4
